parameter, group, sample_size, mean, se, min, max 
GPX, healthy, 10, 218.48, 34.05,108.04,410.56
GPX, dry, 10, 344.66, 98.74, 43.59, 611.65
GPX, wet, 10, 342.23, 79.20, 43.69, 567.96
CAT, healthy, 10, 1.18, 0.14, 0.61, 1.94
CAT, dry, 10, 1.61, 0.11, 1.20, 2.01
CAT, wet, 10, 1.53, 0.06, 1.25, 1.74
SOD, healthy, 10, 36.41, 2.33, 24.46, 48.33
SOD, dry, 10, 56.73, 3.07, 44.98, 65.46
SOD, wet, 10, 45.46, 1.11, 40.00, 48.33
TAC, healthy, 10, 2.16, 0.41, 0.29, 3.57
TAC, dry, 10, 0.25, 0.01, 0.21, 0.31
TAC, wet, 10, 0.08, 0.005, 0.06, 0.1 
MDA, healthy, 10, 10.13, 0.35, 8.09, 11.38
MDA, dry, 10, 16.12, 1.75, 9.93, 19.82
MDA, wet, 10,18.74, 0.48, 16.53, 19.93
