biomarker,comparison,mean1,mean2,t_stat,p_val,hedges_g,g_ci_low,g_ci_high,mann_u_p,holm_p,fdr_p,significant_fdr
MDA,healthy vs wet,10.13,18.74,-14.493635073256264,8.508630036471873e-11,-6.207873864821348,-8.306903113191051,-4.108844616451645,0.00018267179110955002,1.276294505470781e-09,1.276294505470781e-09,True
TAC,dry vs wet,0.25,0.08,16.6371094422335,1.6677814444185764e-08,7.125960904258491,4.763417982839733,9.488503825677249,0.00018267179110955002,2.3348940221860068e-07,1.2508360833139324e-07,True
SOD,dry vs healthy,56.73,36.41,5.272358313771948,6.486612069587441e-05,2.258241994959032,1.1652944543367318,3.351189535581332,0.0002461281279052297,0.0008432595690463673,0.000324330603479372,True
TAC,healthy vs wet,2.16,0.08,5.073104187261344,0.0006689432411019961,2.1728980161593037,1.0966941450143022,3.249101887304305,0.0028272720911168077,0.008027318893223953,0.0025085371541324853,True
TAC,dry vs healthy,0.25,2.16,-4.657151558849331,0.001186236866823453,-1.9947383317273881,-3.03728550741108,-0.952191156043696,0.0028272720911168077,0.013048605535057984,0.0035587106004703593,True
SOD,healthy vs wet,36.41,45.46,-3.5065405248598824,0.0039136387569458034,-1.5019117819780994,-2.461809928016872,-0.542013635939327,0.011329696684474666,0.03913638756945803,0.009784096892364508,True
SOD,dry vs wet,56.73,45.46,3.452283345612786,0.005195263836775237,1.4786724963658595,0.5222457705962043,2.4350992221355146,0.00579535854433471,0.046757374530977135,0.011132708221661222,True
MDA,dry vs healthy,16.12,10.13,3.356387569936349,0.007578510945564739,1.4375986817872803,0.487204983452482,2.387992380122079,0.0072845570094796615,0.06062808756451791,0.014209708022933885,True
CAT,dry vs healthy,1.61,1.18,2.4151206120974416,0.02724495243706709,1.034437810283755,0.13580997208154666,1.9330656484859634,0.00018267179110955002,0.19071466705946963,0.04540825406177849,True
CAT,healthy vs wet,1.18,1.53,-2.4579718401912203,0.03467211116786087,-1.0527917303054974,-1.9534643528354687,-0.15211910777552629,0.0072845570094796615,0.20803266700716522,0.052008166751791304,False
GPX,healthy vs wet,218.48,342.23,-1.435460066917664,0.17626065985501746,-0.6148323031711888,-1.475685483995993,0.24602087765361536,0.06402210128302689,0.8813032992750873,0.22297418420490997,False
MDA,dry vs wet,16.12,18.74,-1.4438165652550492,0.178379347363928,-0.6184115355285563,-1.4795109060189922,0.2426878349618794,0.10410988966022681,0.713517389455712,0.22297418420490997,False
GPX,dry vs healthy,344.66,218.48,1.2080871064456444,0.25209924530480277,0.5174445428372874,-0.33723544239303926,1.372124528067614,0.3846730627355087,0.7562977359144083,0.29088374458246474,False
CAT,dry vs wet,1.61,1.53,0.7077706274737534,0.49524863468527935,0.3031503662383423,-0.5415918234326711,1.1478925559093558,0.9698499769931556,0.9904972693705587,0.5306235371627993,False
GPX,dry vs wet,344.66,342.23,0.01919750658553479,0.9849046118418712,0.008222623158353199,-0.8312830471852422,0.8477282935019486,0.5707503880581739,0.9849046118418712,0.9849046118418712,False
